NIP		NRB
----------	--------------------------
9810000054	70102035709724546729803218
1120000322	83249000054243980827278527
1120000428	89926400093578089389446762
1810004094	39102055610000370202959088
1120000411	33144010558221640315760086
1810004094	17102055612150976534289857
1810004094	19102055612143765789973554
1810004094	38102055610000320209756141
1120000351	98124062349989896801925550
1810004094	29102055614444789887664831
1810004094	23102055610000340209684145
1130013160	57102010550000910200159426
1130013160	53102011560000740200072686
1130013160	31102011560000730200166736
5838154651	63102011560000710200483933
5838154651	24102055610000360209622046
9889982762	63102011560000710200483933
9889982762	63102055610000710200483934
9889982762	63102011560000710200483934
